Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A14010_001
"06075010101","Census Tract 101.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,,2004,2004,835,132,67,608,46,149,167,41.67,6.59,3.34,30.34,2.3,7.44,8.33,101974,1099,365,214,33.21,19.47,83,0,83,0,100,1212,459,651,102,0,0,0,37.87,53.71,8.42,0,0,0,1099,459,600,40,0,0,0,41.77,54.6,3.64,0,0,0,1525,144,1381,9.44,90.56,101338
"06075010102","Census Tract 101.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,,1795,1795,562,322,0,766,16,76,53,31.31,17.94,0,42.67,0.89,4.23,2.95,108417,605,206,49,34.05,8.1,267,0,267,0,100,907,303,446,148,10,0,0,33.41,49.17,16.32,1.1,0,0,605,281,211,103,10,0,0,46.45,34.88,17.02,1.65,0,0,1158,91,1067,7.86,92.14,
"06075010201","Census Tract 102.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,,2608,2608,1793,134,0,206,0,18,457,68.75,5.14,0,7.9,0,0.69,17.52,160221,840,146,117,17.38,13.93,229,0,229,0,100,1375,452,614,214,95,0,0,32.87,44.65,15.56,6.91,0,0,840,330,387,123,0,0,0,39.29,46.07,14.64,0,0,0,1942,138,1804,7.11,92.89,250001
"06075010202","Census Tract 102.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,,1761,1761,1179,58,0,284,27,86,127,66.95,3.29,0,16.13,1.53,4.88,7.21,206484,753,45,119,5.98,15.8,94,0,94,0,100,1091,206,697,158,0,30,0,18.88,63.89,14.48,0,2.75,0,753,192,435,96,0,30,0,25.5,57.77,12.75,0,3.98,0,1305,95,1210,7.28,92.72,157296
"06075010300","Census Tract 103, San Francisco County, California","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,,3791,3791,2313,0,76,949,0,28,425,61.01,0,2,25.03,0,0.74,11.21,158973,1644,285,262,17.34,15.94,186,0,186,0,100,2143,500,1214,366,63,0,0,23.33,56.65,17.08,2.94,0,0,1644,476,876,229,63,0,0,28.95,53.28,13.93,3.83,0,0,2631,232,2399,8.82,91.18,193885
"06075010401","Census Tract 104.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,,2393,2393,1315,11,1,477,0,73,516,54.95,0.46,0.04,19.93,0,3.05,21.56,207500,628,93,45,14.81,7.17,618,44,574,7.12,92.88,944,271,403,246,11,0,13,28.71,42.69,26.06,1.17,0,1.38,628,245,235,124,11,0,13,39.01,37.42,19.75,1.75,0,2.07,1402,139,1263,9.91,90.09,250001
"06075010402","Census Tract 104.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,,2012,2012,1236,9,0,527,0,24,216,61.43,0.45,0,26.19,0,1.19,10.74,158500,836,90,164,10.77,19.62,135,0,135,0,100,1202,419,483,150,98,52,0,34.86,40.18,12.48,8.15,4.33,0,836,337,365,80,54,0,0,40.31,43.66,9.57,6.46,0,0,1584,17,1567,1.07,98.93,250001
"06075010500","Census Tract 105, San Francisco County, California","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,,3177,3177,1376,39,0,1606,0,23,133,43.31,1.23,0,50.55,0,0.72,4.19,171667,1374,205,179,14.92,13.03,376,0,376,0,100,1738,652,1009,66,0,11,0,37.51,58.06,3.8,0,0.63,0,1374,613,733,28,0,0,0,44.61,53.35,2.04,0,0,0,1916,102,1814,5.32,94.68,221190
"06075010600","Census Tract 106, San Francisco County, California","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,,3293,3293,1025,100,13,1647,0,62,446,31.13,3.04,0.39,50.02,0,1.88,13.54,86111,1641,465,363,28.34,22.12,292,21,271,7.19,92.81,1836,1189,533,108,6,0,0,64.76,29.03,5.88,0.33,0,0,1641,1168,413,54,6,0,0,71.18,25.17,3.29,0.37,0,0,2348,265,2083,11.29,88.71,115938
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,3280,3280,192,0,0,3039,0,10,39,5.85,0,0,92.65,0,0.3,1.19,27531,1737,369,377,21.24,21.7,175,39,136,22.29,77.71,1834,1547,260,27,0,0,0,84.35,14.18,1.47,0,0,0,1737,1491,246,0,0,0,0,85.84,14.16,0,0,0,0,1818,346,1472,19.03,80.97,32732
