Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12003_001,SE_A12003_002,SE_A12003_003,PCT_SE_A12003_002,PCT_SE_A12003_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A10026_001,SE_A10026_002,SE_A10026_003,SE_A10026_004,SE_A10026_005,SE_A10026_006,SE_A10026_007,SE_A10026_008,SE_A10026_009,SE_A10026_010,SE_A10026_011,SE_A10026_012,SE_A10026_013,SE_A10026_014,SE_A10026_015,SE_A10026_016,SE_A10026_017,SE_A10026_018,SE_A10026_019,SE_A10026_020,SE_A10026_021,SE_A10026_022,SE_A10026_023,PCT_SE_A10026_002,PCT_SE_A10026_003,PCT_SE_A10026_004,PCT_SE_A10026_005,PCT_SE_A10026_006,PCT_SE_A10026_007,PCT_SE_A10026_008,PCT_SE_A10026_009,PCT_SE_A10026_010,PCT_SE_A10026_011,PCT_SE_A10026_012,PCT_SE_A10026_013,PCT_SE_A10026_014,PCT_SE_A10026_015,PCT_SE_A10026_016,PCT_SE_A10026_017,PCT_SE_A10026_018,PCT_SE_A10026_019,PCT_SE_A10026_020,PCT_SE_A10026_021,PCT_SE_A10026_022,PCT_SE_A10026_023,SE_A14011_001,SE_A14010_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,PCT_SE_B10040_002,PCT_SE_B10040_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,PCT_SE_A13002_002,PCT_SE_A13002_003,PCT_SE_A13002_004,PCT_SE_A13002_005,PCT_SE_A13002_006,PCT_SE_A13002_007,PCT_SE_A13002_008,PCT_SE_A13002_009,PCT_SE_A13002_010,PCT_SE_A13002_011,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013,SE_C01001_001,SE_C01001_002,SE_C01001_003,SE_C01001_004,SE_C01001_005,SE_C01001_006,SE_C01001_007,SE_C01001_008,SE_C01001_009,SE_C01001_010,SE_C01001_011,SE_C01001_012,SE_C01001_013,SE_C01001_014,SE_C01001_015,SE_C01001_016,SE_C01001_017,SE_C01001_018,SE_C01001_019,SE_C01001_020,SE_C01001_021,SE_C01001_022,SE_C01001_023,SE_C01001_024,PCT_SE_C01001_002,PCT_SE_C01001_003,PCT_SE_C01001_004,PCT_SE_C01001_005,PCT_SE_C01001_006,PCT_SE_C01001_007,PCT_SE_C01001_008,PCT_SE_C01001_009,PCT_SE_C01001_010,PCT_SE_C01001_011,PCT_SE_C01001_012,PCT_SE_C01001_013,PCT_SE_C01001_014,PCT_SE_C01001_015,PCT_SE_C01001_016,PCT_SE_C01001_017,PCT_SE_C01001_018,PCT_SE_C01001_019,PCT_SE_C01001_020,PCT_SE_C01001_021,PCT_SE_C01001_022,PCT_SE_C01001_023,PCT_SE_C01001_024,SE_A10022_001,SE_A10022_002,SE_A10022_003,SE_A10022_004,SE_A10022_005,SE_A10022_006,SE_A10022_007,SE_A10022_008,PCT_SE_A10022_002,PCT_SE_A10022_003,PCT_SE_A10022_004,PCT_SE_A10022_005,PCT_SE_A10022_006,PCT_SE_A10022_007,PCT_SE_A10022_008,SE_A00001_001
"06075010101","Census Tract 101.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,,133,0,133,0,100,1212,30,26,56,158,0,0,68,0,33,12,123,55,193,81,138,239,2.48,2.15,4.62,13.04,0,0,5.61,0,2.72,0.99,10.15,4.54,15.92,6.68,11.39,19.72,1212,112,0,33,79,158,0,0,158,101,0,0,101,135,0,46,89,706,332,197,177,0,0,9.24,0,2.72,6.52,13.04,0,0,13.04,8.33,0,0,8.33,11.14,0,3.8,7.34,58.25,27.39,16.25,14.6,0,0,141497.590361446,101338,1099,365,214,33.21,19.47,113,25,25,22.12,22.12,415,4,0,4,0,0,0,0,0,0,411,0.96,0,0.96,0,0,0,0,0,0,99.04,83,0,83,0,100,1099,459,600,40,0,0,0,41.77,54.6,3.64,0,0,0,2004,7774.771,0.257756792695565,2004,62,21,0,0,179,441,519,230,156,182,119,95,3.09,1.05,0,0,8.93,22.01,25.9,11.48,7.78,9.08,5.94,4.74,2004,62,21,0,0,133,0,0,46,338,103,460,59,102,128,156,0,0,46,67,69,10,109,95,3.09,1.05,0,0,6.64,0,0,2.3,16.87,5.14,22.95,2.94,5.09,6.39,7.78,0,0,2.3,3.34,3.44,0.5,5.44,4.74,1212,35,35,35,0,0,0,1177,2.89,2.89,2.89,0,0,0,97.11,2004
"06075010102","Census Tract 101.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,,8,0,8,0,100,907,74,77,0,38,27,179,0,17,0,15,0,21,68,33,57,301,8.16,8.49,0,4.19,2.98,19.74,0,1.87,0,1.65,0,2.32,7.5,3.64,6.28,33.19,907,139,0,17,122,236,134,5,97,17,0,0,17,15,0,0,15,456,201,172,83,12,32,15.33,0,1.87,13.45,26.02,14.77,0.55,10.69,1.87,0,0,1.87,1.65,0,0,1.65,50.28,22.16,18.96,9.15,1.32,3.53,155052.421052632,,605,206,49,34.05,8.1,302,79,55,26.16,18.21,475,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,100,267,0,267,0,100,605,281,211,103,10,0,0,46.45,34.88,17.02,1.65,0,0,1795,58437.18,0.0307167446335659,1795,45,46,79,97,109,244,401,124,280,160,48,162,2.51,2.56,4.4,5.4,6.07,13.59,22.34,6.91,15.6,8.91,2.67,9.03,1795,45,46,79,97,0,6,0,103,113,131,203,198,40,84,142,38,100,21,81,58,9,39,162,2.51,2.56,4.4,5.4,0,0.33,0,5.74,6.3,7.3,11.31,11.03,2.23,4.68,7.91,2.12,5.57,1.17,4.51,3.23,0.5,2.17,9.03,907,217,202,18,11,173,15,690,23.93,22.27,1.98,1.21,19.07,1.65,76.07,1795
"06075010201","Census Tract 102.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,,0,0,0,,,1375,56,5,13,10,52,27,32,0,0,0,68,46,38,149,261,618,4.07,0.36,0.95,0.73,3.78,1.96,2.33,0,0,0,4.95,3.35,2.76,10.84,18.98,44.95,1375,54,0,0,54,89,0,0,89,32,0,0,32,68,48,10,10,1112,545,335,232,20,0,3.93,0,0,3.93,6.47,0,0,6.47,2.33,0,0,2.33,4.95,3.49,0.73,0.73,80.87,39.64,24.36,16.87,1.45,0,532678.076923077,250001,840,146,117,17.38,13.93,535,154,60,28.79,11.21,520,3,0,0,0,0,0,3,0,3,517,0.58,0,0,0,0,0,0.58,0,0.58,99.42,229,0,229,0,100,840,330,387,123,0,0,0,39.29,46.07,14.64,0,0,0,2608,36145.88,0.0721520717470506,2608,56,48,57,68,149,886,307,289,311,247,184,6,2.15,1.84,2.19,2.61,5.71,33.97,11.77,11.08,11.92,9.47,7.06,0.23,2608,56,48,57,68,0,21,4,124,406,480,143,164,167,122,113,90,108,120,23,104,44,140,6,2.15,1.84,2.19,2.61,0,0.81,0.15,4.75,15.57,18.4,5.48,6.29,6.4,4.68,4.33,3.45,4.14,4.6,0.88,3.99,1.69,5.37,0.23,1375,203,149,43,15,91,54,1172,14.76,10.84,3.13,1.09,6.62,3.93,85.24,2608
"06075010202","Census Tract 102.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,,54,0,54,0,100,1091,65,0,8,0,38,21,14,42,21,2,15,44,0,30,236,555,5.96,0,0.73,0,3.48,1.92,1.28,3.85,1.92,0.18,1.37,4.03,0,2.75,21.63,50.87,1091,73,0,0,73,59,0,0,59,77,0,0,77,17,0,0,17,865,529,260,76,0,0,6.69,0,0,6.69,5.41,0,0,5.41,7.06,0,0,7.06,1.56,0,0,1.56,79.29,48.49,23.83,6.97,0,0,268352.941176471,157296,753,45,119,5.98,15.8,338,138,86,40.83,25.44,391,8,0,8,0,0,0,0,0,0,383,2.05,0,2.05,0,0,0,0,0,0,97.95,94,0,94,0,100,753,192,435,96,0,30,0,25.5,57.77,12.75,0,3.98,0,1761,13744.52,0.128123759646763,1761,60,33,0,9,86,522,257,349,91,113,165,76,3.41,1.87,0,0.51,4.88,29.64,14.59,19.82,5.17,6.42,9.37,4.32,1761,60,33,0,9,54,24,0,8,292,230,171,86,125,224,20,8,63,22,30,61,111,54,76,3.41,1.87,0,0.51,3.07,1.36,0,0.45,16.58,13.06,9.71,4.88,7.1,12.72,1.14,0.45,3.58,1.25,1.7,3.46,6.3,3.07,4.32,1091,60,60,39,0,21,0,1031,5.5,5.5,3.57,0,1.92,0,94.5,1761
"06075010300","Census Tract 103, San Francisco County, California","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,,46,0,46,0,100,2143,108,94,58,0,76,41,44,0,0,0,125,147,58,112,327,953,5.04,4.39,2.71,0,3.55,1.91,2.05,0,0,0,5.83,6.86,2.71,5.23,15.26,44.47,2143,241,42,0,199,117,0,0,117,44,0,0,44,125,0,18,107,1547,1003,267,277,0,69,11.25,1.96,0,9.29,5.46,0,0,5.46,2.05,0,0,2.05,5.83,0,0.84,4.99,72.19,46.8,12.46,12.93,0,3.22,230748.574969021,193885,1644,285,262,17.34,15.94,499,197,124,39.48,24.85,807,75,0,42,0,0,0,33,0,33,732,9.29,0,5.2,0,0,0,4.09,0,4.09,90.71,186,0,186,0,100,1644,476,876,229,63,0,0,28.95,53.28,13.93,3.83,0,0,3791,36601.09,0.1035761555652,3791,102,57,0,27,150,1087,383,604,407,661,262,51,2.69,1.5,0,0.71,3.96,28.67,10.1,15.93,10.74,17.44,6.91,1.35,3791,102,57,0,27,19,0,0,131,610,477,171,212,504,100,202,54,151,261,261,139,145,117,51,2.69,1.5,0,0.71,0.5,0,0,3.46,16.09,12.58,4.51,5.59,13.29,2.64,5.33,1.42,3.98,6.88,6.88,3.67,3.82,3.09,1.35,2143,132,132,38,0,94,0,2011,6.16,6.16,1.77,0,4.39,0,93.84,3791
"06075010401","Census Tract 104.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,,77,0,77,0,100,944,84,73,0,0,0,7,0,57,17,6,28,91,9,42,58,472,8.9,7.73,0,0,0,0.74,0,6.04,1.8,0.64,2.97,9.64,0.95,4.45,6.14,50,944,85,0,0,85,7,0,0,7,74,17,57,0,34,19,0,15,659,371,171,117,22,63,9,0,0,9,0.74,0,0,0.74,7.84,1.8,6.04,0,3.6,2.01,0,1.59,69.81,39.3,18.11,12.39,2.33,6.67,275326.771653543,250001,628,93,45,14.81,7.17,316,86,63,27.22,19.94,508,38,0,0,31,31,0,7,7,0,470,7.48,0,0,6.1,6.1,0,1.38,1.38,0,92.52,618,44,574,7.12,92.88,628,245,235,124,11,0,13,39.01,37.42,19.75,1.75,0,2.07,2393,43574.96,0.0549168567576375,2393,411,29,89,89,79,358,485,164,316,207,111,55,17.18,1.21,3.72,3.72,3.3,14.96,20.27,6.85,13.21,8.65,4.64,2.3,2393,411,29,89,89,9,11,6,53,157,201,160,325,26,138,190,93,33,57,33,117,75,36,55,17.18,1.21,3.72,3.72,0.38,0.46,0.25,2.21,6.56,8.4,6.69,13.58,1.09,5.77,7.94,3.89,1.38,2.38,1.38,4.89,3.13,1.5,2.3,944,313,306,189,20,97,7,631,33.16,32.42,20.02,2.12,10.28,0.74,66.84,2393
"06075010402","Census Tract 104.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,,0,0,0,,,1202,0,25,55,45,40,49,7,32,0,47,31,76,81,66,92,556,0,2.08,4.58,3.74,3.33,4.08,0.58,2.66,0,3.91,2.58,6.32,6.74,5.49,7.65,46.26,1202,80,0,0,80,134,0,25,109,39,9,0,30,78,21,8,49,871,418,350,103,0,0,6.66,0,0,6.66,11.15,0,2.08,9.07,3.24,0.75,0,2.5,6.49,1.75,0.67,4.08,72.46,34.78,29.12,8.57,0,0,333985.166240409,250001,836,90,164,10.77,19.62,366,117,78,31.97,21.31,391,19,0,19,0,0,0,0,0,0,372,4.86,0,4.86,0,0,0,0,0,0,95.14,135,0,135,0,100,836,337,365,80,54,0,0,40.31,43.66,9.57,6.46,0,0,2012,26929.13,0.0747146318824643,2012,32,11,92,0,141,484,298,246,415,79,140,74,1.59,0.55,4.57,0,7.01,24.06,14.81,12.23,20.63,3.93,6.96,3.68,2012,32,11,92,0,0,0,11,130,195,289,184,114,77,169,116,113,186,33,11,35,92,48,74,1.59,0.55,4.57,0,0,0,0.55,6.46,9.69,14.36,9.15,5.67,3.83,8.4,5.77,5.62,9.24,1.64,0.55,1.74,4.57,2.39,3.68,1202,90,90,25,0,65,0,1112,7.49,7.49,2.08,0,5.41,0,92.51,2012
"06075010500","Census Tract 105, San Francisco County, California","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,,0,0,0,,,1738,46,97,0,52,0,65,6,16,33,24,92,202,86,103,159,757,2.65,5.58,0,2.99,0,3.74,0.35,0.92,1.9,1.38,5.29,11.62,4.95,5.93,9.15,43.56,1738,143,0,68,75,117,13,21,83,55,6,21,28,108,17,5,86,1296,667,360,269,0,19,8.23,0,3.91,4.32,6.73,0.75,1.21,4.78,3.16,0.35,1.21,1.61,6.21,0.98,0.29,4.95,74.57,38.38,20.71,15.48,0,1.09,266893.40232859,221190,1374,205,179,14.92,13.03,364,157,69,43.13,18.96,773,29,0,0,0,0,0,29,0,29,744,3.75,0,0,0,0,0,3.75,0,3.75,96.25,376,0,376,0,100,1374,613,733,28,0,0,0,44.61,53.35,2.04,0,0,0,3177,12170.58,0.261039433387336,3177,95,164,87,30,137,678,406,351,344,415,354,116,2.99,5.16,2.74,0.94,4.31,21.34,12.78,11.05,10.83,13.06,11.14,3.65,3177,95,164,87,30,0,15,23,99,229,449,207,199,133,218,226,56,62,78,82,255,223,131,116,2.99,5.16,2.74,0.94,0,0.47,0.72,3.12,7.21,14.13,6.52,6.26,4.19,6.86,7.11,1.76,1.95,2.46,2.58,8.03,7.02,4.12,3.65,1738,230,209,31,88,90,21,1508,13.23,12.03,1.78,5.06,5.18,1.21,86.77,3177
"06075010600","Census Tract 106, San Francisco County, California","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,,54,0,54,0,100,1836,71,144,191,77,31,36,64,131,9,80,11,224,175,121,82,389,3.87,7.84,10.4,4.19,1.69,1.96,3.49,7.14,0.49,4.36,0.6,12.2,9.53,6.59,4.47,21.19,1836,373,0,40,333,126,0,0,126,204,10,63,131,91,0,14,77,982,565,192,225,26,34,20.32,0,2.18,18.14,6.86,0,0,6.86,11.11,0.54,3.43,7.14,4.96,0,0.76,4.19,53.49,30.77,10.46,12.25,1.42,1.85,137222.131147541,115938,1641,465,363,28.34,22.12,195,64,31,32.82,15.9,610,103,0,29,61,11,50,13,0,13,507,16.89,0,4.75,10,1.8,8.2,2.13,0,2.13,83.11,292,21,271,7.19,92.81,1641,1168,413,54,6,0,0,71.18,25.17,3.29,0.37,0,0,3293,45554.39,0.0722872075082973,3293,83,88,76,45,224,806,431,425,462,379,111,163,2.52,2.67,2.31,1.37,6.8,24.48,13.09,12.91,14.03,11.51,3.37,4.95,3293,83,88,76,45,16,10,6,192,310,496,205,226,185,240,244,121,97,173,105,101,79,32,163,2.52,2.67,2.31,1.37,0.49,0.3,0.18,5.83,9.41,15.06,6.23,6.86,5.62,7.29,7.41,3.67,2.95,5.25,3.19,3.07,2.4,0.97,4.95,1836,174,174,0,73,101,0,1662,9.48,9.48,0,3.98,5.5,0,90.52,3293
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,76,0,76,0,100,1834,250,337,97,214,98,179,14,113,34,194,92,27,85,8,51,41,13.63,18.38,5.29,11.67,5.34,9.76,0.76,6.16,1.85,10.58,5.02,1.47,4.63,0.44,2.78,2.24,1834,515,0,171,344,476,70,48,358,161,72,36,53,286,91,195,0,212,204,8,0,156,28,28.08,0,9.32,18.76,25.95,3.82,2.62,19.52,8.78,3.93,1.96,2.89,15.59,4.96,10.63,0,11.56,11.12,0.44,0,8.51,1.53,61328.3196239718,32732,1737,369,377,21.24,21.7,97,9,0,9.28,0,851,135,39,86,10,0,10,0,0,0,716,15.86,4.58,10.11,1.18,0,1.18,0,0,0,84.14,175,39,136,22.29,77.71,1737,1491,246,0,0,0,0,85.84,14.16,0,0,0,0,3280,86717.16,0.037824113470796,3280,0,0,161,14,154,252,285,564,563,688,283,316,0,0,4.91,0.43,4.7,7.68,8.69,17.2,17.16,20.98,8.63,9.63,3280,0,0,161,14,62,35,0,57,182,70,129,156,130,434,186,181,196,65,173,450,212,71,316,0,0,4.91,0.43,1.89,1.07,0,1.74,5.55,2.13,3.93,4.76,3.96,13.23,5.67,5.52,5.98,1.98,5.27,13.72,6.46,2.16,9.63,1834,165,165,0,0,165,0,1669,9,9,0,0,9,0,91,3280
