Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007
"060750101011","Block Group 1, Census Tract 101.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010101","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750101011","Block Group 1",,,,123826,541,185,276,80,0,0,0
"060750101012","Block Group 2, Census Tract 101.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010101","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750101012","Block Group 2",,,,66103,671,274,375,22,0,0,0
"060750101021","Block Group 1, Census Tract 101.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"010102","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750101021","Block Group 1",,,,108417,907,303,446,148,10,0,0
"060750102011","Block Group 1, Census Tract 102.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010201","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750102011","Block Group 1",,,,189181,753,241,368,144,0,0,0
"060750102012","Block Group 2, Census Tract 102.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010201","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750102012","Block Group 2",,,,152328,622,211,246,70,95,0,0
"060750102021","Block Group 1, Census Tract 102.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"010202","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750102021","Block Group 1",,,,198692,487,101,350,6,0,30,0
"060750102022","Block Group 2, Census Tract 102.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"010202","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750102022","Block Group 2",,,,219038,604,105,347,152,0,0,0
"060750103001","Block Group 1, Census Tract 103, San Francisco County, California","ca","150","00",,,,"06","075",,,"010300","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750103001","Block Group 1",,,,147500,718,224,227,221,46,0,0
"060750103002","Block Group 2, Census Tract 103, San Francisco County, California","ca","150","00",,,,"06","075",,,"010300","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750103002","Block Group 2",,,,208345,445,77,305,46,17,0,0
"060750103003","Block Group 3, Census Tract 103, San Francisco County, California","ca","150","00",,,,"06","075",,,"010300","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750103003","Block Group 3",,,,178889,980,199,682,99,0,0,0
"060750104011","Block Group 1, Census Tract 104.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010401","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750104011","Block Group 1",,,,216667,268,50,111,107,0,0,0
"060750104012","Block Group 2, Census Tract 104.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"010401","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750104012","Block Group 2",,,,186923,676,221,292,139,11,0,13
"060750104021","Block Group 1, Census Tract 104.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"010402","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750104021","Block Group 1",,,,205441,448,88,211,53,44,52,0
"060750104022","Block Group 2, Census Tract 104.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"010402","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750104022","Block Group 2",,,,158458,459,237,95,73,54,0,0
