Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007
"06075010101","Census Tract 101.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010101","Census Tract 101.01",,,,101974,1212,459,651,102,0,0,0,37.87,53.71,8.42,0,0,0
"06075010102","Census Tract 101.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010102","Census Tract 101.02",,,,108417,907,303,446,148,10,0,0,33.41,49.17,16.32,1.1,0,0
"06075010201","Census Tract 102.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010201","Census Tract 102.01",,,,160221,1375,452,614,214,95,0,0,32.87,44.65,15.56,6.91,0,0
"06075010202","Census Tract 102.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010202","Census Tract 102.02",,,,206484,1091,206,697,158,0,30,0,18.88,63.89,14.48,0,2.75,0
"06075010300","Census Tract 103, San Francisco County, California","ca","140","00",,,,"06","075",,,"010300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010300","Census Tract 103",,,,158973,2143,500,1214,366,63,0,0,23.33,56.65,17.08,2.94,0,0
"06075010401","Census Tract 104.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010401","Census Tract 104.01",,,,207500,944,271,403,246,11,0,13,28.71,42.69,26.06,1.17,0,1.38
"06075010402","Census Tract 104.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"010402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010402","Census Tract 104.02",,,,158500,1202,419,483,150,98,52,0,34.86,40.18,12.48,8.15,4.33,0
"06075010500","Census Tract 105, San Francisco County, California","ca","140","00",,,,"06","075",,,"010500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010500","Census Tract 105",,,,171667,1738,652,1009,66,0,11,0,37.51,58.06,3.8,0,0.63,0
"06075010600","Census Tract 106, San Francisco County, California","ca","140","00",,,,"06","075",,,"010600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010600","Census Tract 106",,,,86111,1836,1189,533,108,6,0,0,64.76,29.03,5.88,0.33,0,0
"06075010701","Census Tract 107.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"010701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075010701","Census Tract 107.01",,,,27531,1834,1547,260,27,0,0,0,84.35,14.18,1.47,0,0,0
