STOPID,STOPNAME,LATITUDE,School Name,LONGITUDE,time_difference,route_id,NAMELSAD
5351,Mansell St&Somerset St S-NS/PS,37.720418,"Burton, Phillip And Sala Burton High School",-122.405094,0 days 00:00:27.318181818,29,Census Tract 259
5351,Mansell St&Somerset St S-NS/PS,37.720418,"Burton, Phillip And Sala Burton High School",-122.405094,0 days 00:01:40,56,Census Tract 259
5351,Mansell St&Somerset St S-NS/PS,37.720418,"Burton, Phillip And Sala Burton High School",-122.405094,0 days 00:00:13.772727272,29,Census Tract 259
5351,Mansell St&Somerset St S-NS/PS,37.720418,"Burton, Phillip And Sala Burton High School",-122.405094,0 days 00:01:04,56,Census Tract 259
5351,Mansell St&Somerset St S-NS/PS,37.720418,"Burton, Phillip And Sala Burton High School",-122.405094,0 days 00:00:28,56,Census Tract 259
4783,Gilman Ave&3rd St E-NS/PS,37.722458,"Burton, Phillip And Sala Burton High School",-122.395415,0 days 00:04:06.391304347,29,Census Tract 234
4783,Gilman Ave&3rd St E-NS/PS,37.722458,"Burton, Phillip And Sala Burton High School",-122.395415,0 days 00:05:42.173913043,29,Census Tract 234
4783,Gilman Ave&3rd St E-NS/PS,37.722458,"Burton, Phillip And Sala Burton High School",-122.395415,0 days 00:04:27.217391304,29,Census Tract 234
4783,Gilman Ave&3rd St E-NS/PS,37.722458,"Burton, Phillip And Sala Burton High School",-122.395415,0 days 00:05:09.434782608,29,Census Tract 234
4783,Gilman Ave&3rd St E-NS/PS,37.722458,"Burton, Phillip And Sala Burton High School",-122.395415,0 days 00:04:40.130434782,29,Census Tract 234
3071,Balboa St&Park Presidio Blvd SW-NS,37.776788,Gateway High School / Kipp Sf Bay Academy,-122.472411,0 days 00:11:51.333333333,31,Census Tract 476
3071,Balboa St&Park Presidio Blvd SW-NS,37.776788,Gateway High School / Kipp Sf Bay Academy,-122.472411,0 days 00:13:02.833333333,31,Census Tract 476
3071,Balboa St&Park Presidio Blvd SW-NS,37.776788,Gateway High School / Kipp Sf Bay Academy,-122.472411,0 days 00:12:24.333333333,31,Census Tract 476
5274,Lombard St&Fillmore St SE-FS/BZ,37.799818,Galileo High School,-122.435878,0 days 00:07:03,28,Census Tract 129.02
5274,Lombard St&Fillmore St SE-FS/BZ,37.799818,Galileo High School,-122.435878,0 days 00:06:13.125000,28,Census Tract 129.02
5274,Lombard St&Fillmore St SE-FS/BZ,37.799818,Galileo High School,-122.435878,0 days 00:04:36.750000,28,Census Tract 129.02
5274,Lombard St&Fillmore St SE-FS/BZ,37.799818,Galileo High School,-122.435878,0 days 00:05:26.250000,28,Census Tract 129.02
4329,Castro St&25TH St SE-NS/BZ,37.7496,Gateway High School / Kipp Sf Bay Academy,-122.43383,0 days 00:15:46.263157894,24,Census Tract 214
4329,Castro St&25TH St SE-NS/BZ,37.7496,Gateway High School / Kipp Sf Bay Academy,-122.43383,0 days 00:17:49.421052631,24,Census Tract 214
4329,Castro St&25TH St SE-NS/BZ,37.7496,Gateway High School / Kipp Sf Bay Academy,-122.43383,0 days 00:18:55.736842105,24,Census Tract 214
3273,16th Ave&Lawton St NW-NS/PS,37.7593,"Lincoln, Abraham Lincoln High School",-122.4737,0 days 00:04:35.888888888,66,Census Tract 303.01
3273,16th Ave&Lawton St NW-NS/PS,37.7593,"Lincoln, Abraham Lincoln High School",-122.4737,0 days 00:05:03.777777777,66,Census Tract 303.01
3273,16th Ave&Lawton St NW-NS/PS,37.7593,"Lincoln, Abraham Lincoln High School",-122.4737,0 days 00:05:27.500000,66,Census Tract 303.01
5904,Paul Ave&San Bruno Ave N-MB/SB,37.723879,"Burton, Phillip And Sala Burton High School",-122.401576,0 days 00:01:57.565217391,29,Census Tract 257.02
5904,Paul Ave&San Bruno Ave N-MB/SB,37.723879,"Burton, Phillip And Sala Burton High School",-122.401576,0 days 00:03:33.347826086,29,Census Tract 257.02
5904,Paul Ave&San Bruno Ave N-MB/SB,37.723879,"Burton, Phillip And Sala Burton High School",-122.401576,0 days 00:02:18.391304347,29,Census Tract 257.02
5904,Paul Ave&San Bruno Ave N-MB/SB,37.723879,"Burton, Phillip And Sala Burton High School",-122.401576,0 days 00:03:00.608695652,29,Census Tract 257.02
5904,Paul Ave&San Bruno Ave N-MB/SB,37.723879,"Burton, Phillip And Sala Burton High School",-122.401576,0 days 00:02:31.304347826,29,Census Tract 257.02
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Washington, George Washington High School",-122.504928,0 days 00:15:53,18,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Washington, George Washington High School",-122.504928,0 days 00:17:00,18,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Washington, George Washington High School",-122.504928,0 days 00:16:18,18,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Washington, George Washington High School",-122.504928,0 days 00:17:54,18,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Lincoln, Abraham Lincoln High School",-122.504928,0 days 00:09:06.923076923,48,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Lincoln, Abraham Lincoln High School",-122.504928,0 days 00:08:27.428571428,48,Census Tract 354
3593,46th Ave&Quintara St SE-NS/PS,37.747288,"Lincoln, Abraham Lincoln High School",-122.504928,0 days 00:07:52.428571428,48,Census Tract 354
6323,Sagamore St&Capitol Ave SW-NS,37.71129,"Burton, Phillip And Sala Burton High School",-122.45913,0 days 00:24:39.272727272,54,Census Tract 314.01
6323,Sagamore St&Capitol Ave SW-NS,37.71129,"Burton, Phillip And Sala Burton High School",-122.45913,0 days 00:24:56.636363636,54,Census Tract 314.01
7423,Market St&Hyde St N-NS/BZ,37.778784,Galileo High School,-122.414723,0 days 00:19:14.090909090,19,Census Tract 176.04
7423,Market St&Hyde St N-NS/BZ,37.778784,Galileo High School,-122.414723,0 days 00:18:46.272727272,19,Census Tract 176.04
7423,Market St&Hyde St N-NS/BZ,37.778784,Galileo High School,-122.414723,0 days 00:17:48.363636363,19,Census Tract 176.04
7423,Market St&Hyde St N-NS/BZ,37.778784,Galileo High School,-122.414723,0 days 00:16:56.545454545,19,Census Tract 176.04
7423,Market St&Hyde St N-NS/BZ,37.778784,Galileo High School,-122.414723,0 days 00:15:52.818181818,19,Census Tract 176.04
5988,Polk St&Francisco St NW-NS/BZ,37.80353,Galileo High School,-122.42341,0 days 00:00:55.437500,19,Census Tract 102.02
6951,Winston Dr&20th Ave SE-FS/BZ,37.726883,"Burton, Phillip And Sala Burton High School",-122.475739,0 days 00:25:49,29,Census Tract 332.01
6951,Winston Dr&20th Ave SE-FS/BZ,37.726883,"Burton, Phillip And Sala Burton High School",-122.475739,0 days 00:24:24.066666666,29,Census Tract 332.01
6951,Winston Dr&20th Ave SE-FS/BZ,37.726883,"Burton, Phillip And Sala Burton High School",-122.475739,0 days 00:25:35.200000,29,Census Tract 332.01
6951,Winston Dr&20th Ave SE-FS/BZ,37.726883,"Burton, Phillip And Sala Burton High School",-122.475739,0 days 00:24:52.133333333,29,Census Tract 332.01
6951,Winston Dr&20th Ave SE-FS/BZ,37.726883,"Burton, Phillip And Sala Burton High School",-122.475739,0 days 00:25:21.066666666,29,Census Tract 332.01
5620,Mission St&Silver Ave S-NS/BZ,37.728723,Galileo High School,-122.43132,0 days 00:39:47.142857142,49,Census Tract 255.02
5620,Mission St&Silver Ave S-NS/BZ,37.728723,Galileo High School,-122.43132,0 days 00:40:20.210526315,49,Census Tract 255.02
5620,Mission St&Silver Ave S-NS/BZ,37.728723,Galileo High School,-122.43132,0 days 00:40:44.210526315,49,Census Tract 255.02
5281,Lombard St&Laguna St SE-FS/SB,37.800442,Galileo High School,-122.430937,0 days 00:05:17.250000,28,Census Tract 129.02
5281,Lombard St&Laguna St SE-FS/SB,37.800442,Galileo High School,-122.430937,0 days 00:04:27.375000,28,Census Tract 129.02
5281,Lombard St&Laguna St SE-FS/SB,37.800442,Galileo High School,-122.430937,0 days 00:02:51,28,Census Tract 129.02
5281,Lombard St&Laguna St SE-FS/SB,37.800442,Galileo High School,-122.430937,0 days 00:03:40.500000,28,Census Tract 129.02
6181,Richardson Ave&Francisco St NW-NS,37.800408,Galileo High School,-122.447447,0 days 00:09:03.125000,28,Census Tract 127
6181,Richardson Ave&Francisco St NW-NS,37.800408,Galileo High School,-122.447447,0 days 00:08:13.250000,28,Census Tract 127
6181,Richardson Ave&Francisco St NW-NS,37.800408,Galileo High School,-122.447447,0 days 00:06:36.875000,28,Census Tract 127
6181,Richardson Ave&Francisco St NW-NS,37.800408,Galileo High School,-122.447447,0 days 00:07:26.375000,28,Census Tract 127
6159,Quintara St&35th Ave SW-NS,37.74783,"Lincoln, Abraham Lincoln High School",-122.49334,0 days 00:04:19,48,Census Tract 329.01
6159,Quintara St&35th Ave SW-NS,37.74783,"Lincoln, Abraham Lincoln High School",-122.49334,0 days 00:03:39,48,Census Tract 329.01
6159,Quintara St&35th Ave SW-NS,37.74783,"Lincoln, Abraham Lincoln High School",-122.49334,0 days 00:03:04,48,Census Tract 329.01
