df_index,df2_index,df_coordinates,df2_coordinates,route_id,school_name
8,12,"(37.72872924804688, -122.4312973022461)","(37.728723, -122.43132)",49,Galileo High School
12,379,"(37.75231170654297, -122.39651489257812)","(37.752287, -122.396482)",19,Galileo High School
81,728,"(37.75130462646485, -122.43408966064452)","(37.751315, -122.43411)",48,"Lincoln, Abraham Lincoln High School"
89,61,"(37.7332763671875, -122.39768981933594)","(37.7333, -122.39762)",54,"Burton, Phillip And Sala Burton High School"
478,710,"(37.7875680237141, -122.40658988465438)","(37.787633, -122.406568)",38,"Washington, George Washington High School"
653,77,"(37.78289413452149, -122.42081451416016)","(37.782854, -122.420785)",49,Galileo High School
815,589,"(37.742374420166016, -122.42196655273438)","(37.742408, -122.422037)",24,Gateway High School / Kipp Sf Bay Academy
815,735,"(37.742374420166016, -122.42196655273438)","(37.742408, -122.421945)",49,Galileo High School
1292,9,"(37.77872085571289, -122.41474151611328)","(37.778784, -122.414723)",19,Galileo High School
1396,653,"(37.79217529296875, -122.42269134521484)","(37.792134, -122.422661)",49,Galileo High School
1427,643,"(37.775146484375, -122.41925811767578)","(37.7751, -122.41924)",49,Galileo High School
1444,515,"(37.78568649291992, -122.42139434814452)","(37.785647, -122.421368)",49,Galileo High School
1488,77,"(37.78289413452149, -122.42081451416016)","(37.782854, -122.420785)",49,Galileo High School
1623,226,"(37.78059005737305, -122.43892669677734)","(37.780591, -122.438942)",24,Gateway High School / Kipp Sf Bay Academy
1623,326,"(37.78059005737305, -122.43892669677734)","(37.780591, -122.438942)",31,"Washington, George Washington High School"
1667,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
1771,752,"(37.76750564575195, -122.42894744873048)","(37.767509, -122.428927)",22,Gateway High School / Kipp Sf Bay Academy
1813,452,"(37.71490478515625, -122.45606994628906)","(37.71484, -122.45605)",54,"Burton, Phillip And Sala Burton High School"
1831,752,"(37.76750564575195, -122.42894744873048)","(37.767509, -122.428927)",22,Gateway High School / Kipp Sf Bay Academy
1843,752,"(37.76750564575195, -122.42894744873048)","(37.767509, -122.428927)",22,Gateway High School / Kipp Sf Bay Academy
1919,379,"(37.75231170654297, -122.39651489257812)","(37.752287, -122.396482)",19,Galileo High School
2101,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
2163,9,"(37.77872085571289, -122.41474151611328)","(37.778784, -122.414723)",19,Galileo High School
2166,9,"(37.77872085571289, -122.41474151611328)","(37.778784, -122.414723)",19,Galileo High School
2349,9,"(37.77872085571289, -122.41474151611328)","(37.778784, -122.414723)",19,Galileo High School
2444,693,"(37.78007507324219, -122.42024993896484)","(37.780035, -122.420224)",49,Galileo High School
2494,77,"(37.78289413452149, -122.42081451416016)","(37.782854, -122.420785)",49,Galileo High School
2552,9,"(37.77872085571289, -122.41474151611328)","(37.778784, -122.414723)",19,Galileo High School
2624,350,"(37.71646118164063, -122.4410171508789)","(37.716419, -122.441012)",54,"Burton, Phillip And Sala Burton High School"
