df_index,df2_index,df_coordinates,df2_coordinates,latitude,longitude,df2_latitude,df2_longitude
8,4280,"(37.71129, -122.45913)","(np.float64(37.71126631015692), np.float64(-122.4591285780278))",37.71129,-122.45913,37.71126631015692,-122.4591285780278
14,1501,"(37.800408, -122.447447)","(np.float64(37.800409938887206), np.float64(-122.44747018372033))",37.800408,-122.447447,37.800409938887206,-122.44747018372033
16,22442,"(37.782835, -122.414217)","(np.float64(37.78285086963361), np.float64(-122.4141981005881))",37.782835,-122.414217,37.78285086963361,-122.4141981005881
22,843,"(37.75299, -122.40669)","(np.float64(37.753008999086894), np.float64(-122.40665384459048))",37.75299,-122.40669,37.753008999086894,-122.40665384459048
38,14349,"(37.78849, -122.40248)","(np.float64(37.7885159705333), np.float64(-122.40249758955667))",37.78849,-122.40248,37.7885159705333,-122.40249758955667
40,12664,"(37.770513, -122.391037)","(np.float64(37.7704931286187), np.float64(-122.39106130557562))",37.770513,-122.391037,37.7704931286187,-122.39106130557562
42,14089,"(37.773206, -122.509876)","(np.float64(37.77319067487402), np.float64(-122.50987405679176))",37.773206,-122.509876,37.77319067487402,-122.50987405679176
45,3539,"(37.805241, -122.423494)","(np.float64(37.805229606960296), np.float64(-122.42352609038552))",37.805241,-122.423494,37.805229606960296,-122.42352609038552
48,25202,"(37.79118, -122.42407)","(np.float64(37.79118798624406), np.float64(-122.42408486250471))",37.79118,-122.42407,37.79118798624406,-122.42408486250471
50,15429,"(37.785745, -122.421575)","(np.float64(37.78573446333273), np.float64(-122.42161710845993))",37.785745,-122.421575,37.78573446333273,-122.42161710845993
50,24393,"(37.785745, -122.421575)","(np.float64(37.78578094453547), np.float64(-122.42157418532608))",37.785745,-122.421575,37.78578094453547,-122.42157418532608
54,8337,"(37.74654, -122.43132)","(np.float64(37.746549152058), np.float64(-122.43131184781352))",37.74654,-122.43132,37.746549152058,-122.43131184781352
60,15303,"(37.772689, -122.484295)","(np.float64(37.7726570054916), np.float64(-122.48431704576352))",37.772689,-122.484295,37.7726570054916,-122.48431704576352
