OBJECTID,GF_SEQ_ID,BATCH_ID,ACTION,LAMP_1_ACTION,LAMP_2_ACTION,LAMP_3_ACTION,ASSETNUM,POLE_TYPE,POLE_NUMBER,POLE_OWNER,ARM_LENGTH,MATERIAL,MATERIAL_REF_ID,POSITION_X,POSITION_Y,L1_WATT,L1_TYPE,L1_LUMINAIRE,L1_SIDE,L1_RTI_ID,L2_WATT,L2_TYPE,L2_LUMINAIRE,L2_SIDE,L2_RTI_ID,L3_WATT,L3_TYPE,L3_LUMINAIRE,L3_SIDE,L3_RTI_ID,STREET_NAME,STREET_TYPE,STREET_ADDRESS,STREET_BLOCK,ASSESSOR_PARCEL_NUMBER,PROJECT,NOTES,STATUS,DISTRICT,NEIGHBORHOOD,EQUIPMENT_ACCEPT_DT,ASSET_DATA_INTEGRATION_DT,EQUIPMENT_CHANGE_DT,EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_DT,CALC_EQUIPMENT_CHANGE_DT,CALC_EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_IP_ID,CALC_EQUIPMENT_CHANGE_IP_ID,CALC_EQUIPMENT_REMOVE_IP_ID,CALC_DATA_INTEGRATION_DT,GLOBALID,CreationDate,Creator,EditDate,Editor,geometryType,x,y,crs
151681,22418,1279,none,none,none,none,P05P0006,TP-StdSteel,334,,,Steel,,5990568.7255,2093443.6927,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3300,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,4bd54ee1-aa60-4e2b-8148-a1a5991b1464,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990568.725625,2093443.6925,102643
151682,22419,1279,none,none,none,none,P05P0007,TP-StdSteel,335,,,Steel,,5990561.7888,2093368.9879,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3300,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,f7f88aec-b2b6-44a1-ae91-6abf8f24b24b,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990561.78875,2093368.988125,102643
151683,22420,1279,none,none,none,none,P05P0008,TP-StdSteel,336,,,Steel,,5990556.8484,2093286.8825,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3300,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,d7c40434-6eb0-487a-9fbb-61cf6508d961,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990556.848125,2093286.8825,102643
151684,22421,1279,none,none,none,none,P05P0009,TP-StdSteel,337,,,Steel,,5990556.8484,2093226.2607,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3300,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,fd0ddbff-1281-4719-8e39-1f78e338db5e,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990556.848125,2093226.260625,102643
151685,22422,1279,none,none,none,none,P05P0010,TP-StdSteel,341,,,Steel,,5990546.9388,2093117.3391,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3400,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,0fe942d0-9658-4bb9-b5f3-452db8e48f23,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990546.93875,2093117.339375,102643
151686,22423,1279,none,none,none,none,P05P0011,TP-StdSteel,342,,,Steel,,5990543.4544,2093043.2648,108,LED,RoadFocus,E,5652,108,LED,RoadFocus,W,5652,,,,,,19TH,AVE,,3400,7200,LED SLight Conversion by Grid..,,ACTIVE,7,Neighborhood),,,1513166460000,,,,,,,,,70301f25-1128-46f3-a02f-bd6f1a717798,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5990543.454375,2093043.265,102643
151687,22238,1279,none,none,none,none,O13P0255,SL-StdSteel,148,,,Steel,,6015724.8295,2094989.0744,72,LED,RoadFocus,R,5523,,,,,,,,,,,OAKDALE,ST,,1400,,"UGD-354 Oakdale/Palou Ph1
LED SLight Conversion-Bayview District",,ACTIVE,10,Neighborhood),1245499260000,1317038460000,1483012860000,,,,,,,,,3dff08a5-5d4a-462b-abde-d7703273c38a,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6015724.829375,2094989.074375,102643
151688,25022,1279,none,none,none,none,S10P0047,SL-StdSteel,187,,,Steel,,6005415.0202,2086446.437,105,LED,Roadstar GPLM,R,5524,,,,,,,,,,,GENEVA,AVE,1889,1800,6300,LED SLight Conversion Project-Geneva Ave,,ACTIVE,10,Neighborhood),,,1446120060000,,,,,,,,,99fe5144-879c-46ab-9ca3-0254b5c00ab0,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6005415.02,2086446.436875,102643
151689,24463,1279,none,none,none,none,R10P0021,SL-StdSteel,148,,,Steel,,6005689.8976,2089564.5134,92,LED,Roadstar GPLM,R,6090,,,,,,,,,,,PERSIA,ST,,,,Mansell Streetscape (2235J).dwg,,ACTIVE,,,,1633089660000,,,,,,,,,,1ec840ab-af51-4736-b102-e95b40e742b1,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6005689.8975,2089564.513125,102643
151690,24464,1279,none,none,none,none,R11P0001,SL-StdSteel,01,,,Steel,,6009745.7715,2089488.7474,72,LED,RoadFocus,R,5523,,,,,,,,,,,ERVINE,ST,,0000,6100,LED SLight Conversion by Grid..,,ACTIVE,10,Neighborhood),,,1503489660000,,,,,,,,,89170b1e-5508-4dc2-b1a4-a68de759f72e,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6009745.77125,2089488.7475,102643
