Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2024/05/06 06:00:00 PM,2024/05/06,06:00 PM,2024,Monday,2024/05/07 05:11:00 PM,138863406372,1388634,246059990,,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,8.0,37.760887145996094,-122.43499755859376,POINT (-122.43499755859375 37.760887145996094),38.0,,,,5.0,,5.0,3.0
2024/05/06 05:30:00 PM,2024/05/06,05:30 PM,2024,Monday,2024/05/08 01:22:00 PM,138873106152,1388731,240289769,241291642.0,II,Initial,,6152,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $50-$200 (other than Pickpocket)",Open or Active,08TH ST \ HOWARD ST,24299000.0,Southern,South of Market,6.0,6.0,37.77622222900391,-122.41160583496094,POINT (-122.41160583496094 37.776222229003906),32.0,,1.0,1.0,1.0,,10.0,1.0
2024/05/08 06:00:00 AM,2024/05/08,06:00 AM,2024,Wednesday,2024/05/08 06:17:00 AM,138866904134,1388669,240288921,241290354.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,MISSION ST \ SILVER AVE,21765000.0,Ingleside,Excelsior,11.0,11.0,37.72872924804688,-122.4312973022461,POINT (-122.4312973022461 37.728729248046875),94.0,,,,,,1.0,9.0
2024/05/08 04:40:00 PM,2024/05/08,04:40 PM,2024,Wednesday,2024/05/08 04:44:00 PM,138881704134,1388817,240290233,241292294.0,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,EDDY ST \ JONES ST,24929000.0,Tenderloin,Tenderloin,5.0,6.0,37.78393173217773,-122.41259765625,POINT (-122.41259765625 37.783931732177734),20.0,,1.0,1.0,,,10.0,5.0
2024/05/08 03:02:00 PM,2024/05/08,03:02 PM,2024,Wednesday,2024/05/08 03:21:00 PM,138877606152,1388776,240289991,241291951.0,II,Initial,,6152,Larceny Theft,Larceny Theft - Other,"Theft, From Person, $50-$200 (other than Pickpocket)",Open or Active,25TH ST \ CONNECTICUT ST,23634000.0,Bayview,Potrero Hill,10.0,10.0,37.75231170654297,-122.39651489257812,POINT (-122.39651489257812 37.75231170654297),54.0,,,,,,9.0,2.0
2024/09/04 05:13:00 PM,2024/09/04,05:13 PM,2024,Wednesday,2024/09/04 05:15:00 PM,142117406374,1421174,240556869,242482531.0,II,Initial,,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Cite or Arrest Adult,CLAY ST \ DIVISADERO ST,26824000.0,Richmond,Pacific Heights,2.0,2.0,37.78987121582031,-122.44080352783205,POINT (-122.44080352783203 37.78987121582031),102.0,,,,,,6.0,4.0
2024/05/23 04:23:00 PM,2024/05/23,04:23 PM,2024,Thursday,2024/05/23 04:23:00 PM,139286204014,1392862,240313493,241400117.0,IS,Initial Supplement,,4014,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",Cite or Arrest Adult,LEAVENWORTH ST \ TURK ST,24934000.0,Tenderloin,Tenderloin,5.0,6.0,37.78279495239258,-122.41405487060548,POINT (-122.41405487060547 37.78279495239258),20.0,,1.0,1.0,1.0,,10.0,5.0
2024/05/09 05:30:00 PM,2024/05/09,05:30 PM,2024,Thursday,2024/05/09 06:35:00 PM,138914506154,1389145,240292897,241302845.0,II,Initial,,6154,Larceny Theft,Larceny Theft - Other,"Theft, From Person, >$950 (other than Pickpocket)",Open or Active,24TH ST \ NOE ST,25738000.0,Mission,Noe Valley,8.0,8.0,37.75143814086914,-122.43187713623048,POINT (-122.43187713623047 37.75143814086914),84.0,,,,,,5.0,3.0
2024/03/19 04:00:00 PM,2024/03/19,04:00 PM,2024,Tuesday,2024/03/20 12:52:00 PM,138890706372,1388907,246060317,,II,Coplogic Initial,True,6372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,05TH ST \ CYRIL MAGNIN ST \ MARKET ST,30739000.0,Tenderloin,South of Market,6.0,6.0,37.783992767333984,-122.40806579589844,POINT (-122.40806579589844 37.783992767333984),19.0,,1.0,1.0,,,10.0,5.0
2024/07/31 04:30:00 PM,2024/07/31,04:30 PM,2024,Wednesday,2024/07/31 06:18:00 PM,142146306244,1421463,246114152,,II,Coplogic Initial,True,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,05TH ST \ MISSION ST,24634000.0,Southern,South of Market,6.0,6.0,37.78273010253906,-122.40647888183594,POINT (-122.40647888183594 37.78273010253906),32.0,,1.0,1.0,,,10.0,1.0
