STOPID,NAMELSAD
5351,Census Tract 259
4783,Census Tract 234
5568,Census Tract 209
3071,Census Tract 476
5274,Census Tract 129.02
4329,Census Tract 214
3273,Census Tract 303.01
5904,Census Tract 257.02
3593,Census Tract 354
4072,Census Tract 216
3501,Census Tract 477.01
7423,Census Tract 176.04
5558,Census Tract 208.01
6156,Census Tract 329.01
5988,Census Tract 102.02
5104,Census Tract 231.03
6550,Census Tract 329.01
3530,Census Tract 329.01
6951,Census Tract 332.01
5620,Census Tract 255.02
5281,Census Tract 129.02
6181,Census Tract 127
6159,Census Tract 329.01
6721,Census Tract 124.04
6523,Census Tract 117
6163,Census Tract 353
6425,Census Tract 160
7195,Census Tract 312.01
4283,Census Tract 479.02
7857,Census Tract 129.01
3363,Census Tract 332.03
6737,Census Tract 308
6529,Census Tract 351.01
3480,Census Tract 229.03
7854,Census Tract 451
4430,Census Tract 127
4435,Census Tract 155
5329,Census Tract 352.02
3394,Census Tract 304
4915,Census Tract 312.02
8150,Census Tract 601
5975,Census Tract 312.01
6200,Census Tract 614.01
4131,Census Tract 9809
3585,Census Tract 352.01
3272,Census Tract 303.01
5162,Census Tract 132
3070,Census Tract 476
5913,Census Tract 260.01
3581,Census Tract 352.01
7334,Census Tract 610
3041,Census Tract 452.01
4873,Census Tract 9802
4118,Census Tract 103
3454,Census Tract 229.03
5094,Census Tract 230.01
5684,Census Tract 117
6709,Census Tract 156
5136,Census Tract 332.03
4647,Census Tract 234
7204,Census Tract 479.04
3602,Census Tract 354
5916,Census Tract 260.03
4848,Census Tract 124.05
5469,Census Tract 102.02
4253,Census Tract 313.01
6118,Census Tract 306
6363,Census Tract 258
8023,Census Tract 601
4838,Census Tract 332.01
3252,Census Tract 308
6961,Census Tract 614.01
5782,Census Tract 255.01
6000,Census Tract 111.01
4768,Census Tract 151
6724,Census Tract 157.01
7870,Census Tract 201.01
5547,Census Tract 201.01
5504,Census Tract 231.03
5733,Census Tract 215
