OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
73681,Mansell St&Somerset St S-NS/PS,MANSSOM0,MANSSOME,5351,37.720417999999995,-122.40509399999999,,SOMERSET ST,MANSELL ST,NS,SO,,0,1729767266000,15730619,147,9,POINT (-122.405094 37.720418),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,25,75,75
73708,Gilman Ave&3rd St E-NS/PS,GLMN 3S1,GLMN 3ST,4783,37.722457999999996,-122.395415,,3RD ST,GILMAN AVE,NS,EA,,0,1729767266000,15730707,147,10,POINT (-122.395415 37.722458),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,1,88,88
74008,Mission St&26th St SW-FS/BZ,MISS26S0,MISS26ST,5568,37.74857,-122.41818,,26TH ST,MISSION ST,FS,SW,BZ,0,1729767266000,15731697,147,9,POINT (-122.41818 37.74857),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,2,20,53,53
72765,Balboa St&Park Presidio Blvd SW-NS,BBOAPKP1,BBOAPKPR,3071,37.776787999999996,-122.472411,,PARK PRESIDIO BLVD,BALBOA ST,NS,SW,BZ,1,1729767266000,15727718,147,1,POINT (-122.472411 37.776788),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,5,5
75844,Lombard St&Fillmore St SE-FS/BZ,LOMBFIL1,LOMBFILL,5274,37.799817999999995,-122.435878,,WEBSTER ST,LOMBARD ST,NS,SW,BZ,0,1729767266000,15735507,147,2,POINT (-122.435878 37.799818),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,13,15,15
73435,Castro St&25TH St SE-NS/BZ,CTRO25S1,CTRO25ST,4329,37.7496,-122.43383,,25TH ST,CASTRO ST,NS,SE,BZ,0,1729767266000,15729987,147,8,POINT (-122.43383 37.7496),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,22,84,84
75735,16th Ave&Lawton St NW-NS/PS,16AVLAW0,16AVLAWT,3273,37.7593,-122.47370000000001,,LAWTON ST,16TH AVE,NS,NW,FL,0,1729767266000,15733936,147,7,POINT (-122.4737 37.7593),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,14,44,44
74261,Paul Ave&San Bruno Ave N-MB/SB,PAULSBR1,PAULSBRO,5904,37.723879,-122.401576,,SAN BRUNO AVE,PAUL AVE,MB,NO,,0,1729767266000,15732783,147,9,POINT (-122.401576 37.723879),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,2,25,91,91
73013,46th Ave&Quintara St SE-NS/PS,46AVQUI1,46AVQUIN,3593,37.747288,-122.504928,,QUINTARA ST,46TH AVE,NS,SE,,0,1729767266000,15728396,147,4,POINT (-122.504928 37.747288),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
73080,Clipper St&Portola Dr S-FS,CLIPPORT,CLPRPORT,4072,37.746700000000004,-122.44500000000001,,PORTOLA DR,DIAMOND HEIGHTS BL,FS,SO,,0,1729767266000,15728915,147,8,POINT (-122.445 37.7467),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,5,22,57,57
74624,25th Ave&Geary Blvd SE-NS/BZ,25AVGEA0,25AVGEAR,3501,37.779925,-122.484619,,GEARY BLVD,25TH AVE,NS,SE,BZ,0,1729767266000,15734393,147,1,POINT (-122.484619 37.779925),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,8,8
74378,Market St&Hyde St N-NS/BZ,MRKTHYD3,,7423,37.778784,-122.414723,1,HYDE ST,MARKET ST,,,,0,1729767266000,15738770,147,6,POINT (-122.414723 37.778784),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,5,10,36,21,21
74681,Mission St&20th St SW-FS/BZ,MISS20S0,MISS20ST,5558,37.75817,-122.41909,,20TH ST,MISSION ST,FS,SW,BZ,1,1729767266000,15737482,147,9,POINT (-122.41909 37.75817),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,2,20,53,53
75616,Quintara St&33rd Ave NE-NS,QUIN33A0,QUIN33AV,6156,37.74805,-122.49095,,33RD AVE,QUINTARA ST,NS,NE,,0,1729767266000,15733834,147,4,POINT (-122.49095 37.74805),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
74766,Polk St&Francisco St NW-NS/BZ,POLKFNC0,POLKFNCO,5988,37.803529999999995,-122.42341,,FRANCISCO ST,POLK ST,NS,NW,BZ,0,1729767266000,15736038,147,2,POINT (-122.42341 37.80353),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,32,107,107
75479,Innes Ave&Hunters Point Blvd W-NS,INESH P0,INESH P,5104,37.732709,-122.377172,,HUNTERS POINT BLVD,INNES AVE,NS,WE,,0,1729767266000,15738226,147,10,POINT (-122.377172 37.732709),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,1,78,78
75060,Sunset Blvd&Rivera St SE-NS/SB,SUNSRVR1,SUNSRVRA,6550,37.745838,-122.494604,,RIVERA ST,SUNSET BLVD,NS,SE,,0,1729767266000,15734821,147,4,POINT (-122.494604 37.745838),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
73108,30th Ave&Santiago St NW-NS/PS,30AVSNT0,30AVSNTG,3530,37.74451,-122.48765,,SANTIAGO ST,30TH AVE,NS,NW,FL,0,1729767266000,15728682,147,4,POINT (-122.48765 37.74451),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
75344,Winston Dr&20th Ave SE-FS/BZ,WINS20A1,WINS20AV,6951,37.726883,-122.475739,,20TH AVE,WINSTON DR,FS,SE,BZ,0,1729767266000,15736603,147,7,POINT (-122.475739 37.726883),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,16,41,41
74030,Mission St&Silver Ave S-NS/BZ,MISSSIL1,MISSSILV,5620,37.728722999999995,-122.43132,,SILVER AVE,MISSION ST,NS,SO,BZ,1,1729767266000,15731576,147,11,POINT (-122.43132 37.728723),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,28,94,94
73780,Lombard St&Laguna St SE-FS/SB,LOMBLGN0,LOMBLGNA,5281,37.800442,-122.430937,1,OCTAVIA ST,LOMBARD ST,NS,SW,,0,1729767266000,15731066,147,2,POINT (-122.430937 37.800442),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,13,15,15
74099,Richardson Ave&Francisco St NW-NS,RCHNFNC1,RCHNFNCO,6181,37.800408,-122.447447,1,FRANCISCO ST,RICHARDSON AVE,NS,NW,BZ,1,1729767266000,15732452,147,2,POINT (-122.447447 37.800408),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,13,17,17
75411,Quintara St&35th Ave SW-NS,QUIN35A1,QUIN35AV,6159,37.74783,-122.49334,,35TH AVE,QUINTARA ST,NS,SW,,0,1729767266000,15733596,147,4,POINT (-122.49334 37.74783),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
74922,Turk St&Leavenworth St NW-FS/BZ,TURKLEA0,TURKLEAV,6721,37.782835,-122.41421700000001,,LEAVENWORTH ST,TURK ST,FS,NW,BZ,1,1729767266000,15734643,147,5,POINT (-122.414217 37.782835),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,5,10,36,20,20
75642,Stockton St&Sutter St NE-FS/BB,STOKSUT0,STOKSUTT,6523,37.79013,-122.40705,1,STOCKTON ST,SUTTER ST,FS,NE,BB,0,1729767266000,15735387,147,3,POINT (-122.40705 37.79013),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,8,19,19
74398,Quintara St&41st Ave SW-NS,QUIN41A1,QUIN41AV,6163,37.74754,-122.49981,,41ST AVE,QUINTARA ST,NS,SW,,0,1729767266000,15734214,147,4,POINT (-122.49981 37.74754),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
74837,Starr King Way&Gough St SE-FS/BZ,SKNGGOU1,SKNGGOUG,6425,37.78505,-122.42408499999999,1,GOUGH ST,STARR KING WAY,FS,SE,BZ,0,1729767266000,15734580,147,2,POINT (-122.424085 37.78505),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,11,39,100,100
74262,Grafton Ave&Jules Ave NE-NS/SB,GRAFJUL1,,7195,37.720095,-122.461111,,JULES AVE,GRAFTON AVE,,NE,,0,1729767266000,15732785,147,11,POINT (-122.461111 37.720095),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,1,24,64,64
73169,Geary Blvd&39TH Ave SW-NS/BZ,GEAR39A1,GEAR39AV,4283,37.779286,-122.499829,1,39TH AVE,GEARY BLVD,NS,SW,BZ,0,1729767266000,15729221,147,1,POINT (-122.499829 37.779286),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,8,8
74711,Chestnut St&Gough St NE-NS/BZ,CHESGOU2,,7857,37.801914,-122.427955,,GOUGH ST,CHESTNUT ST,,,,0,1729767266000,15739080,147,2,POINT (-122.427955 37.801914),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,13,17,17
72696,19th Ave&Junipero Serra Blvd W-NS,19AVJ S0,19AVJ S,3363,37.717323,-122.47297,1,JUNIPERO SERRA BLVD,19TH AVE,NS,WE,FL,0,1729767266000,15727383,147,7,POINT (-122.47297 37.717323),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,16,42,42
75370,Ulloa St&Forest Side Ave SW-NS,ULOAFRS1,ULOAFRSD,6737,37.741434999999996,-122.4688,,FOREST SIDE AVE,ULLOA ST,NS,SW,,0,1729767266000,15738125,147,7,POINT (-122.4688 37.741435),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,41,46,46
75621,Sunset Blvd&Judah St NW-NS/SB,SUNSJUD0,SUNSJUDA,6529,37.761005999999995,-122.495851,,JUDAH ST,SUNSET BLVD,NS,NW,,1,1729767266000,15735319,147,4,POINT (-122.495851 37.761006),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
72708,24th St&Potrero Ave NW-FS/BZ,24STPOT0,24STPOTR,3480,37.75299,-122.40669,,POTRERO AVE,24TH ST,FS,NW,BZ,0,1729767266000,15727471,147,9,POINT (-122.40669 37.75299),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,2,20,53,53
75874,Geary Blvd&Arguello Blvd NW-FS/BB,GEARARG2,,7854,37.781313,-122.458955,1,02ND AVE,GEARY BLVD,,,,0,1729767266000,15739142,147,1,POINT (-122.458955 37.781313),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,11,5,5
73409,Divisadero St&North Point St NW-NS,DIVIN P0,DIVIN PT,4430,37.802844,-122.443514,,NORTH POINT ST,DIVISADERO ST,NS,NW,,0,1729767266000,15729488,147,2,POINT (-122.443514 37.802844),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,6,13,17,17
73299,Divisadero St&Sutter St SW-FS/BZ,DIVISUTT,SUTTTERM,4435,37.78515,-122.439939,,SUTTER ST,DIVISADERO ST,FS,SW,BZ,0,1729767266000,15729594,147,5,POINT (-122.439939 37.78515),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,11,15,103,103
73963,Lincoln Way&La Playa St SW-NS/PS,LWAYLAP0,LWAYLAPL,5329,37.763926,-122.50957,,LA PLAYA ST,LINCOLN WY,NS,SW,,1,1729767266000,15731221,147,4,POINT (-122.50957 37.763926),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
